SA4_CODE21,SA4_NAME,year,net_migration_nim,net_migration_nom,population,total_net_migration
101,Capital Region,2024,1124,1423,246087,2547
102,Central Coast,2024,278,2530,354803,2808
103,Central West,2024,-31,849,216000,818
104,Coffs Harbour - Grafton,2024,820,835,150563,1655
105,Far West and Orana,2024,-729,482,118081,-247
106,Hunter Valley exc Newcastle,2024,3037,1083,310416,4120
107,Illawarra,2024,920,2878,326347,3798
108,Mid North Coast,2024,2539,776,236760,3315
109,Murray,2024,656,599,127464,1255
110,New England and North West,2024,-591,1041,190289,450
111,Newcastle and Lake Macquarie,2024,1904,3045,407357,4949
112,Richmond - Tweed,2024,837,1634,262811,2471
113,Riverina,2024,-1041,1102,165852,61
114,Southern Highlands and Shoalhaven,2024,776,797,164054,1573
115,Sydney - Baulkham Hills and Hawkesbury,2024,3060,3777,287936,6837
116,Sydney - Blacktown,2024,1016,7080,442454,8096
117,Sydney - City and Inner South,2024,-10767,16405,363505,5638
118,Sydney - Eastern Suburbs,2024,-6505,10181,277917,3676
119,Sydney - Inner South West,2024,-8594,16162,634107,7568
120,Sydney - Inner West,2024,-4710,9053,320455,4343
121,Sydney - North Sydney and Hornsby,2024,-5682,11291,444023,5609
122,Sydney - Northern Beaches,2024,-2924,5153,270772,2229
123,Sydney - Outer South West,2024,1484,3021,318165,4505
124,Sydney - Outer West and Blue Mountains,2024,314,2718,346325,3032
125,Sydney - Parramatta,2024,-8730,17175,527220,8445
126,Sydney - Ryde,2024,-2443,6314,215583,3871
127,Sydney - South West,2024,3175,7776,516623,10951
128,Sydney - Sutherland,2024,-58,2250,237345,2192
201,Ballarat,2024,2346,924,182460,3270
202,Bendigo,2024,767,802,172754,1569
203,Geelong,2024,4009,2641,349842,6650
204,Hume,2024,1064,914,189637,1978
205,Latrobe - Gippsland,2024,2343,1173,311434,3516
206,Melbourne - Inner,2024,-6483,30567,702853,24084
207,Melbourne - Inner East,2024,-3143,12142,401517,8999
208,Melbourne - Inner South,2024,-1546,9903,449558,8357
209,Melbourne - North East,2024,2382,10234,585062,12616
210,Melbourne - North West,2024,933,7926,463821,8859
211,Melbourne - Outer East,2024,-1987,6589,534103,4602
212,Melbourne - South East,2024,-2605,22701,942073,20096
213,Melbourne - West,2024,4765,18595,955653,23360
214,Mornington Peninsula,2024,103,2583,316065,2686
215,North West,2024,-1374,981,154493,-393
216,Shepparton,2024,-471,889,138837,418
217,Warrnambool and South West,2024,-439,662,128557,223
301,Brisbane - East,2024,1787,2488,255048,4275
302,Brisbane - North,2024,600,3542,240654,4142
303,Brisbane - South,2024,-2400,10496,405821,8096
304,Brisbane - West,2024,-505,4130,202564,3625
305,Brisbane Inner City,2024,-1886,10754,329810,8868
306,Cairns,2024,275,3135,269399,3410
307,Darling Downs - Maranoa,2024,344,451,133617,795
308,Central Queensland,2024,1218,1237,241735,2455
309,Gold Coast,2024,1145,11932,698017,13077
310,Ipswich,2024,4561,3797,408779,8358
311,Logan - Beaudesert,2024,7564,4252,408453,11816
312,Mackay - Isaac - Whitsunday,2024,428,1311,192302,1739
313,Moreton Bay - North,2024,5393,2434,292532,7827
314,Moreton Bay - South,2024,453,2366,236402,2819
315,Queensland - Outback,2024,-911,420,82427,-491
316,Sunshine Coast,2024,5242,4580,434602,9822
317,Toowoomba,2024,583,1606,173649,2189
318,Townsville,2024,556,1744,247234,2300
319,Wide Bay,2024,5463,1768,330788,7231
401,Adelaide - Central and Hills,2024,-1586,6788,333163,5202
402,Adelaide - North,2024,-135,5688,484234,5553
403,Adelaide - South,2024,-569,4660,392131,4091
404,Adelaide - West,2024,-1033,4554,259635,3521
405,Barossa - Yorke - Mid North,2024,986,270,119770,1256
406,South Australia - Outback,2024,-313,310,85946,-3
407,South Australia - South East,2024,1081,985,203132,2066
501,Bunbury,2024,1956,1574,206196,3530
502,Mandurah,2024,2783,1465,122716,4248
503,Perth - Inner,2024,-1465,8095,207192,6630
504,Perth - North East,2024,2663,5478,313823,8141
505,Perth - North West,2024,94,13566,640980,13660
506,Perth - South East,2024,-992,15491,597028,14499
507,Perth - South West,2024,4995,9319,502632,14314
509,Western Australia - Wheat Belt,2024,943,999,147036,1942
510,Western Australia - Outback (North),2024,-775,1038,100680,263
511,Western Australia - Outback (South),2024,-460,976,126795,516
601,Hobart,2024,-2000,2484,254930,484
602,Launceston and North East,2024,-704,909,156249,205
603,South East,2024,254,152,44284,406
604,West and North West,2024,-107,405,120033,298
701,Darwin,2024,-2751,2740,152489,-11
702,Northern Territory - Outback,2024,-1024,872,102580,-152
801,Australian Capital Territory,2024,-1550,6246,473855,4696
901,Other Territories,2024,0,35,4994,35
,,,,,,
